# slug|description
agent-automation|Linear, GitHub PR, CodeRabbit, and Roundfix automation skills without Paperclip/Hermes.
docs|Technical writing, documentation, office documents, research, and delivery evidence.
go-cli|Go CLI skills for command-line tools without an interactive TUI.
go-cli-tui|Go CLI and Bubble Tea TUI skills for agent-operated command-line tools.
marketing|Content creation, ad creative, SEO, sales copy, campaigns, and marketing materials.
paperclip-hermes|Experimental Paperclip/Hermes orchestration overlay for agent workflows.
rust-cli|Rust CLI skills for clap-based tools and agent-friendly automation.
saas|Full SaaS app setup for Bun, TypeScript, React, Hono, Drizzle, and product features.
skill-authoring|Skill design, creation, evaluation, and improvement workflows.
typescript-bun|TypeScript/Bun product app setup with React, Hono, discovery, QA, and delivery skills.
